ID,Object,Property,Value,Source
0.0,Object1,Property3,413525,Source1
0.0,Object1,Property4,424230,Source1
0.0,Object2,Property3,309145,Source1
0.0,Object2,Property4,233423,Source1
0.0,Object3,Property3,290879,Source1
0.0,Object3,Property4,159987,Source1
0.0,Object4,Property3,462330,Source1
0.0,Object4,Property4,496324,Source1
0.0,Object5,Property3,451146,Source1
0.0,Object5,Property4,430212,Source1
0.0,Object6,Property3,210951,Source1
0.0,Object6,Property4,109676,Source1
0.0,Object7,Property3,163478,Source1
0.0,Object7,Property4,471557,Source1
0.0,Object8,Property3,236595,Source1
0.0,Object8,Property4,167013,Source1
0.0,Object9,Property3,404386,Source1
0.0,Object9,Property4,243011,Source1
0.0,Object10,Property3,213464,Source1
0.0,Object10,Property4,359671,Source1
0.0,Object11,Property3,231403,Source1
0.0,Object11,Property4,363702,Source1
0.0,Object12,Property3,160387,Source1
0.0,Object12,Property4,426372,Source1
0.0,Object13,Property3,205923,Source1
0.0,Object13,Property4,248322,Source1
0.0,Object14,Property3,298526,Source1
0.0,Object14,Property4,286563,Source1
0.0,Object15,Property3,136340,Source1
0.0,Object15,Property4,259916,Source1
0.0,Object16,Property3,269397,Source1
0.0,Object16,Property4,149506,Source1
0.0,Object17,Property3,385025,Source1
0.0,Object17,Property4,303181,Source1
0.0,Object18,Property3,398961,Source1
0.0,Object18,Property4,345930,Source1
0.0,Object19,Property3,329728,Source1
0.0,Object19,Property4,434737,Source1
0.0,Object20,Property3,354430,Source1
0.0,Object20,Property4,200404,Source1
0.0,Object21,Property3,293822,Source1
0.0,Object21,Property4,127329,Source1
0.0,Object22,Property3,179308,Source1
0.0,Object22,Property4,289814,Source1
0.0,Object23,Property3,269637,Source1
0.0,Object23,Property4,458242,Source1
0.0,Object24,Property3,194412,Source1
0.0,Object24,Property4,143073,Source1
0.0,Object25,Property3,217444,Source1
0.0,Object25,Property4,287394,Source1
0.0,Object26,Property3,473764,Source1
0.0,Object26,Property4,357340,Source1
0.0,Object27,Property3,162499,Source1
0.0,Object27,Property4,481412,Source1
0.0,Object28,Property3,330925,Source1
0.0,Object28,Property4,375014,Source1
0.0,Object29,Property3,462855,Source1
0.0,Object29,Property4,484172,Source1
0.0,Object30,Property3,298831,Source1
0.0,Object30,Property4,487298,Source1
0.0,Object31,Property3,113351,Source1
0.0,Object31,Property4,487580,Source1
0.0,Object32,Property3,280389,Source1
0.0,Object32,Property4,118853,Source1
0.0,Object33,Property3,333138,Source1
0.0,Object33,Property4,146694,Source1
0.0,Object34,Property3,396329,Source1
0.0,Object34,Property4,307639,Source1
0.0,Object35,Property3,328229,Source1
0.0,Object35,Property4,286652,Source1
0.0,Object36,Property3,115982,Source1
0.0,Object36,Property4,161864,Source1
0.0,Object37,Property3,324671,Source1
0.0,Object37,Property4,138138,Source1
0.0,Object38,Property3,193268,Source1
0.0,Object38,Property4,482483,Source1
0.0,Object39,Property3,307326,Source1
0.0,Object39,Property4,163221,Source1
0.0,Object40,Property3,461631,Source1
0.0,Object40,Property4,230439,Source1
0.0,Object41,Property3,439776,Source1
0.0,Object41,Property4,267671,Source1
0.0,Object42,Property3,121712,Source1
0.0,Object42,Property4,297711,Source1
0.0,Object43,Property3,239120,Source1
0.0,Object43,Property4,499206,Source1
0.0,Object44,Property3,329805,Source1
0.0,Object44,Property4,292027,Source1
0.0,Object45,Property3,199693,Source1
0.0,Object45,Property4,477842,Source1
0.0,Object46,Property3,425644,Source1
0.0,Object46,Property4,200396,Source1
0.0,Object47,Property3,318260,Source1
0.0,Object47,Property4,126589,Source1
0.0,Object48,Property3,478437,Source1
0.0,Object48,Property4,351782,Source1
0.0,Object49,Property3,474458,Source1
0.0,Object49,Property4,146434,Source1
0.0,Object50,Property3,103215,Source1
0.0,Object50,Property4,127014,Source1
0.0,Object51,Property3,410947,Source1
