Object,Property,Value,False
Object1,Property1,349491,"[571722, 803713, 784498, 607671, 951032, 711783, 733954, 794899, 799032, 833718, 833825, 745845, 589084, 746288, 956675, 541026, 860183, 915030, 991407, 711444]"
Object1,Property2,351554,"[793047, 622233, 882893, 749411, 968375, 707663, 900448, 612216, 723373, 927140, 696823, 906154, 629126, 965535, 929899, 778786, 815966, 558832, 529165, 709284]"
Object1,Property3,413525,"[826465, 676168, 814366, 704670, 665783, 828359, 514306, 648202, 969913, 733167, 589366, 930669, 534603, 672894, 564650, 512845, 841913, 878743, 821215, 723483]"
Object1,Property4,424230,"[636830, 591646, 642319, 840862, 872375, 758285, 976612, 833215, 966970, 804169, 713608, 799846, 825501, 774474, 677062, 669162, 729546, 902870, 536493, 980854]"
Object1,Property5,436262,"[767880, 966401, 523202, 745608, 798416, 966374, 622078, 620732, 754363, 760127, 837244, 968191, 596754, 635295, 816696, 809695, 717569, 556787, 558013, 559448]"
Object1,Property6,413766,"[895391, 932829, 592612, 820472, 959897, 909232, 714455, 875007, 982175, 505007, 906601, 685220, 704287, 717297, 989836, 609297, 546111, 544342, 878468, 816144]"
Object2,Property1,217230,"[653558, 953642, 952343, 771027, 513748, 750527, 740991, 634063, 938408, 998459, 888455, 739746, 612185, 627059, 828016, 636955, 780818, 824682, 520502, 939437]"
Object2,Property2,326540,"[981113, 818863, 784971, 592591, 562349, 954877, 683845, 753506, 877048, 932640, 623056, 775528, 916169, 520747, 732024, 562423, 948380, 585250, 854145, 816257]"
Object2,Property3,309145,"[932011, 708533, 618913, 922036, 858058, 592118, 951550, 543941, 807291, 914109, 745871, 608814, 870422, 586566, 988465, 691798, 938235, 802450, 576100, 610389]"
Object2,Property4,233423,"[824052, 861552, 533046, 804467, 794924, 930748, 753857, 766394, 875033, 856036, 884499, 764944, 755351, 598187, 946522, 551701, 606293, 693516, 552019, 907818]"
Object2,Property5,159294,"[522190, 767331, 584723, 951827, 850217, 624409, 959741, 530859, 858606, 923913, 884024, 796381, 916239, 673189, 870130, 718993, 840698, 975359, 550597, 547994]"
Object2,Property6,335060,"[898712, 694442, 595296, 893905, 866910, 978657, 785015, 689427, 697484, 987327, 553117, 797495, 574265, 773509, 936075, 733092, 758830, 836573, 787034, 695112]"
Object3,Property1,102884,"[870228, 946798, 824920, 656477, 630617, 954127, 665851, 959316, 744885, 978501, 920760, 844947, 927146, 948267, 955310, 913560, 798037, 964199, 907942, 605463]"
Object3,Property2,277094,"[652988, 829674, 627750, 554291, 518162, 580816, 633039, 827972, 651550, 981978, 576360, 845471, 697590, 516786, 869737, 564170, 953823, 977895, 922268, 793277]"
Object3,Property3,290879,"[723776, 555924, 746552, 956230, 811514, 846904, 790798, 516452, 566157, 569767, 613976, 939570, 506069, 649090, 708633, 839690, 986974, 583998, 784555, 681772]"
Object3,Property4,159987,"[985453, 915372, 862076, 702838, 536254, 651653, 808501, 811960, 957077, 703245, 685156, 730141, 519778, 902867, 725440, 778911, 585264, 503492, 765709, 966726]"
Object3,Property5,114726,"[715232, 547107, 518804, 948041, 859745, 873630, 911020, 903163, 628576, 726163, 552612, 801974, 591149, 518038, 903332, 863576, 978924, 531982, 513167, 796375]"
Object3,Property6,102187,"[643435, 682065, 535918, 577914, 685728, 807049, 850518, 547314, 993159, 965627, 814318, 942716, 611967, 768855, 992538, 663207, 657354, 650123, 763467, 700783]"
Object4,Property1,281500,"[894771, 744739, 820866, 597196, 513461, 531030, 567999, 526602, 963204, 504256, 651247, 959750, 797621, 699578, 594709, 925310, 738077, 925792, 676959, 740989]"
Object4,Property2,282013,"[723082, 661541, 684474, 907610, 546966, 740607, 757886, 994397, 988774, 852129, 869674, 841308, 553038, 787213, 929579, 640502, 802660, 507293, 845486, 592409]"
Object4,Property3,462330,"[573333, 629392, 754845, 670940, 956040, 501969, 655007, 647178, 704041, 615355, 744546, 677258, 711388, 611702, 663535, 718110, 888716, 950146, 861568, 892238]"
Object4,Property4,496324,"[700317, 818726, 801197, 632865, 970893, 548197, 890249, 894348, 849582, 893146, 840590, 701833, 807518, 921709, 691746, 517085, 705017, 791981, 765998, 874021]"
Object4,Property5,354606,"[864384, 870191, 860154, 630147, 650596, 849125, 921292, 938887, 547442, 857400, 862642, 949140, 622069, 653317, 566022, 514194, 899457, 924138, 768230, 621823]"
Object4,Property6,403106,"[542185, 702431, 605584, 965907, 605557, 768075, 691479, 952340, 512969, 871306, 902948, 562657, 638372, 660574, 676940, 710433, 896494, 733402, 965445, 870762]"
Object5,Property1,476213,"[814855, 601537, 831286, 675311, 689683, 683769, 833673, 924798, 879088, 718596, 541331, 544329, 756106, 745927, 732482, 988385, 506683, 797084, 533129, 842600]"
Object5,Property2,100993,"[984636, 549003, 965663, 622914, 693377, 815946, 667838, 735017, 964942, 576328, 719567, 991899, 930049, 730309, 652941, 922082, 667659, 777055, 669793, 978459]"
Object5,Property3,451146,"[792959, 937794, 855408, 798879, 903614, 745887, 863973, 827969, 934101, 518175, 968779, 988866, 877641, 850118, 724188, 530778, 796615, 844622, 889536, 536800]"
Object5,Property4,430212,"[849517, 860937, 768368, 511531, 916543, 574235, 853651, 952586, 635095, 572216, 919138, 729987, 624247, 615162, 596272, 993873, 517806, 654919, 865605, 686207]"
Object5,Property5,286626,"[930208, 623900, 947184, 525674, 844244, 575926, 988054, 662646, 956804, 708938, 983751, 844592, 829807, 906853, 696086, 693479, 549242, 953742, 743874, 819017]"
Object5,Property6,498119,"[862355, 664401, 953000, 968177, 891807, 890425, 669925, 540997, 577629, 787999, 850597, 656255, 974012, 863921, 777660, 842446, 890807, 852681, 501277, 597712]"
Object6,Property1,264358,"[578528, 788738, 552135, 592501, 684407, 969174, 736796, 954468, 506142, 866518, 746839, 875837, 840732, 601254, 706681, 798182, 666306, 782123, 769364, 590462]"
Object6,Property2,147498,"[551049, 556973, 865240, 859822, 788065, 912789, 713360, 849639, 977817, 757892, 813187, 916777, 972884, 762594, 872549, 998120, 602733, 593113, 630317, 603317]"
Object6,Property3,210951,"[920366, 716371, 782892, 937498, 901532, 823469, 922550, 616103, 525088, 551668, 547524, 694283, 799163, 966463, 591347, 535476, 924056, 719915, 917324, 956380]"
Object6,Property4,109676,"[744023, 748571, 718280, 540101, 916400, 797598, 983812, 730306, 777433, 867163, 803979, 901883, 610160, 547524, 965176, 760058, 530482, 598532, 990621, 564968]"
Object6,Property5,418123,"[832617, 865719, 947389, 962319, 963973, 944651, 934746, 868893, 977308, 825726, 723242, 790620, 503838, 721245, 515070, 603696, 831590, 940640, 713658, 605849]"
Object6,Property6,472923,"[554370, 619385, 688566, 562137, 632445, 527637, 635270, 567562, 791802, 952969, 854975, 988356, 782393, 945361, 578985, 922164, 560126, 620437, 715224, 590605]"
Object7,Property1,416732,"[856061, 997860, 530832, 614032, 830988, 724177, 865984, 717927, 509997, 710544, 784545, 981195, 510508, 621203, 904256, 804445, 621189, 513371, 884217, 763735]"
Object7,Property2,133894,"[803723, 524959, 665234, 935488, 810121, 883460, 815626, 653484, 863357, 917296, 686992, 516051, 695484, 653765, 996671, 864284, 531850, 856914, 554764, 857795]"
Object7,Property3,163478,"[964807, 727390, 931871, 792837, 652994, 638358, 579526, 846473, 808771, 888387, 585944, 994563, 730389, 610862, 812575, 820800, 846773, 775576, 791436, 883688]"
Object7,Property4,471557,"[832208, 509868, 733685, 520743, 655049, 878540, 639819, 941167, 717353, 644616, 535261, 879111, 579262, 807763, 953814, 696623, 774744, 553615, 752527, 721533]"
Object7,Property5,288408,"[700360, 934366, 576268, 722053, 713679, 938944, 690097, 587315, 763913, 610091, 547814, 885892, 911461, 651113, 660586, 716088, 907684, 707219, 535158, 899595]"
Object7,Property6,186328,"[584333, 898012, 824888, 748422, 839567, 758343, 670828, 691139, 987728, 872937, 514192, 991758, 850932, 660971, 529814, 765344, 520635, 995783, 548741, 983447]"
Object8,Property1,361267,"[872535, 506139, 870806, 759684, 807995, 728336, 625164, 708908, 809310, 515338, 946290, 946806, 700733, 957965, 766409, 610722, 970854, 812993, 731649, 533353]"
Object8,Property2,396586,"[547149, 962424, 617716, 532808, 894421, 637334, 955906, 845875, 993440, 601265, 709875, 995172, 631601, 536913, 639931, 722479, 956014, 500552, 942586, 853455]"
Object8,Property3,236595,"[698024, 921883, 571422, 574311, 523317, 532065, 974912, 593658, 895203, 629033, 632538, 505066, 861640, 782741, 793038, 832267, 897117, 714717, 904257, 560395]"
Object8,Property4,167013,"[577142, 561312, 885521, 921274, 775390, 590984, 561033, 884441, 803415, 791191, 915934, 640711, 624955, 730999, 890559, 721272, 696773, 566306, 532105, 842318]"
Object8,Property5,397735,"[790184, 906403, 686956, 610305, 507136, 860434, 668476, 820689, 941074, 830479, 674694, 985916, 784005, 746766, 744376, 592377, 569012, 711053, 508083, 875576]"
Object8,Property6,120346,"[549114, 781873, 711757, 715765, 916046, 898720, 659490, 572269, 778936, 804786, 516598, 502901, 889186, 665826, 559205, 583490, 820173, 544666, 560152, 571476]"
Object9,Property1,199661,"[511554, 565780, 632682, 851476, 930563, 760143, 898124, 542177, 698878, 718443, 629737, 663100, 677576, 668333, 908288, 632596, 707274, 637789, 543482, 629967]"
Object9,Property2,235019,"[932540, 964600, 634990, 676577, 604899, 668410, 530602, 973620, 787393, 544041, 899532, 754749, 597219, 820905, 576511, 578510, 770005, 743169, 581194, 671515]"
Object9,Property3,404386,"[905355, 929440, 521656, 935461, 751676, 688115, 931014, 667018, 783132, 604648, 938742, 689072, 607357, 853856, 755681, 935651, 867343, 712697, 692495, 961098]"
Object9,Property4,243011,"[665619, 832235, 977169, 575879, 568792, 849798, 872650, 584503, 759512, 804145, 916668, 593300, 966783, 641551, 563277, 772651, 855475, 577643, 940333, 720281]"
Object9,Property5,153983,"[568237, 722087, 697282, 678908, 844598, 611889, 509882, 585973, 976361, 605685, 640450, 702154, 854615, 514301, 724492, 853842, 610939, 537676, 557570, 669483]"
Object9,Property6,307907,"[665314, 783404, 675227, 668088, 805150, 586871, 748733, 920184, 952936, 736221, 580989, 632628, 995986, 567167, 988058, 538000, 693284, 780842, 650455, 772603]"
Object10,Property1,306303,"[990459, 632069, 670456, 604075, 780725, 721693, 911156, 858882, 736530, 607517, 882734, 789387, 503003, 890882, 728719, 916988, 586725, 985094, 537140, 509518]"
Object10,Property2,301222,"[905065, 895247, 862315, 730968, 921372, 725046, 779246, 962644, 551967, 705795, 519584, 619533, 525204, 546257, 843986, 751317, 574161, 984856, 587633, 602214]"
Object10,Property3,213464,"[623422, 558535, 971560, 741316, 785448, 841370, 871491, 860926, 696871, 888131, 965816, 773882, 908206, 836351, 520987, 909028, 808952, 853995, 907799, 672598]"
