Object,Property,Value,Source,TSInitial,C_v
sial,Change %,1.17,advfn,0.8,0.0
sial,Last trading price,74.24,advfn,0.8,0.0
sial,Open price,73.54,advfn,0.8,0.0
sial,Change $,0.86,advfn,0.8,0.0
sial,Volume,674663.0,advfn,0.8,0.0
sial,Today's high,74.265,advfn,0.8,0.0
sial,Today's low,73.07,advfn,0.8,0.0
sial,Change %,1.17,barchart,0.8,0.0
sial,Last trading price,74.24,barchart,0.8,0.0
sial,Open price,73.54,barchart,0.8,0.0
sial,Change $,0.86,barchart,0.8,0.0
sial,Volume,624505.0,barchart,0.8,0.0
sial,Today's high,74.26,barchart,0.8,0.0
sial,Today's low,73.07,barchart,0.8,0.0
sial,Previous close,73.38,barchart,0.8,0.0
sial,52wk High,74.26,barchart,0.8,0.0
sial,52wk Low,48.27,barchart,0.8,0.0
sial,Market cap,9040000000.0,barchart,0.8,0.0
sial,Yield,1.0,barchart,0.8,0.0
sial,Dividend,0.72,barchart,0.8,0.0
sial,EPS,3.28,barchart,0.8,0.0
sial,Change %,1.17,barrons,0.8,0.0
sial,Last trading price,74.24,barrons,0.8,0.0
sial,Open price,73.54,barrons,0.8,0.0
sial,Change $,0.86,barrons,0.8,0.0
sial,Volume,668438.0,barrons,0.8,0.0
sial,Today's high,74.265,barrons,0.8,0.0
sial,Today's low,73.07,barrons,0.8,0.0
sial,Shares Outstanding,123000000.0,barrons,0.8,0.0
sial,Market cap,8730000000.0,barrons,0.8,0.0
sial,Yield,0.97,barrons,0.8,0.0
sial,Dividend,0.18,barrons,0.8,0.0
sial,Change %,1.172,bloomberg,0.8,0.0
sial,Last trading price,74.24,bloomberg,0.8,0.0
sial,Open price,73.54,bloomberg,0.8,0.0
sial,Change $,0.86,bloomberg,0.8,0.0
sial,Volume,674663.0,bloomberg,0.8,0.0
sial,Today's high,74.265,bloomberg,0.8,0.0
sial,Today's low,73.07,bloomberg,0.8,0.0
sial,52wk High,74.26,bloomberg,0.8,0.0
sial,52wk Low,48.8,bloomberg,0.8,0.0
sial,Shares Outstanding,121827000.0,bloomberg,0.8,0.0
sial,Market cap,9044402000.0,bloomberg,0.8,0.0
sial,Yield,0.917,bloomberg,0.8,0.0
sial,Dividend,0.18,bloomberg,0.8,0.0
sial,EPS,3.41,bloomberg,0.8,0.0
sial,Change %,1.172,boston-com,0.8,0.0
sial,Last trading price,74.24,boston-com,0.8,0.0
sial,Open price,73.54,boston-com,0.8,0.0
sial,Change $,0.86,boston-com,0.8,0.0
sial,Volume,674263.0,boston-com,0.8,0.0
sial,Today's high,74.27,boston-com,0.8,0.0
sial,Today's low,73.07,boston-com,0.8,0.0
sial,Previous close,73.38,boston-com,0.8,0.0
sial,52wk High,73.6,boston-com,0.8,0.0
sial,52wk Low,48.8,boston-com,0.8,0.0
sial,Shares Outstanding,121826546.0,boston-com,0.8,0.0
sial,Change %,1.172,bostonmerchant,0.8,0.0
sial,Last trading price,74.24,bostonmerchant,0.8,0.0
sial,Open price,73.54,bostonmerchant,0.8,0.0
sial,Change $,0.86,bostonmerchant,0.8,0.0
sial,Volume,674263.0,bostonmerchant,0.8,0.0
sial,Today's high,74.27,bostonmerchant,0.8,0.0
sial,Today's low,73.07,bostonmerchant,0.8,0.0
sial,Previous close,73.38,bostonmerchant,0.8,0.0
sial,52wk High,73.6,bostonmerchant,0.8,0.0
sial,52wk Low,48.8,bostonmerchant,0.8,0.0
sial,Shares Outstanding,121826546.0,bostonmerchant,0.8,0.0
sial,Change %,1.172,business-insider,0.8,0.0
sial,Last trading price,74.24,business-insider,0.8,0.0
sial,Open price,73.54,business-insider,0.8,0.0
sial,Change $,0.86,business-insider,0.8,0.0
sial,Volume,674263.0,business-insider,0.8,0.0
sial,Today's high,74.27,business-insider,0.8,0.0
sial,Today's low,73.07,business-insider,0.8,0.0
sial,Previous close,73.38,business-insider,0.8,0.0
sial,52wk High,73.6,business-insider,0.8,0.0
sial,52wk Low,48.8,business-insider,0.8,0.0
sial,Shares Outstanding,121826546.0,business-insider,0.8,0.0
sial,Change %,1.172,chron,0.8,0.0
sial,Last trading price,74.24,chron,0.8,0.0
sial,Open price,73.54,chron,0.8,0.0
sial,Change $,0.86,chron,0.8,0.0
sial,Volume,673214.0,chron,0.8,0.0
sial,Today's high,74.27,chron,0.8,0.0
sial,Today's low,73.07,chron,0.8,0.0
sial,Previous close,73.38,chron,0.8,0.0
sial,52wk High,73.6,chron,0.8,0.0
sial,52wk Low,48.8,chron,0.8,0.0
sial,Shares Outstanding,121826546.0,chron,0.8,0.0
sial,Change %,1.17,cio-com,0.8,0.0
