Object,Property,Value
Object1,Property1,457751
Object1,Property2,449385
Object1,Property3,239490
Object1,Property4,178630
Object1,Property5,309368
Object1,Property6,356272
Object1,Property7,345060
Object1,Property8,495931
Object1,Property9,294480
Object1,Property10,260485
Object2,Property1,404443
Object2,Property2,288653
Object2,Property3,300994
Object2,Property4,456731
Object2,Property5,393910
Object2,Property6,301627
Object2,Property7,378320
Object2,Property8,165173
Object2,Property9,455352
Object2,Property10,240507
Object3,Property1,301729
Object3,Property2,247282
Object3,Property3,421549
Object3,Property4,271061
Object3,Property5,228620
Object3,Property6,269376
Object3,Property7,397820
Object3,Property8,244785
Object3,Property9,320234
Object3,Property10,466513
Object4,Property1,178278
Object4,Property2,463396
Object4,Property3,195399
Object4,Property4,127094
Object4,Property5,147111
Object4,Property6,270403
Object4,Property7,140656
Object4,Property8,198885
Object4,Property9,477109
Object4,Property10,423133
Object5,Property1,459638
Object5,Property2,213137
Object5,Property3,112944
Object5,Property4,177534
Object5,Property5,179464
Object5,Property6,432822
Object5,Property7,150097
Object5,Property8,237424
Object5,Property9,172625
Object5,Property10,252721
Object6,Property1,389134
Object6,Property2,219726
Object6,Property3,343530
Object6,Property4,330909
Object6,Property5,408185
Object6,Property6,408850
Object6,Property7,209431
Object6,Property8,202058
Object6,Property9,202283
Object6,Property10,379963
Object7,Property1,229885
Object7,Property2,483990
Object7,Property3,341102
Object7,Property4,161164
Object7,Property5,287862
Object7,Property6,156407
Object7,Property7,224094
Object7,Property8,191010
Object7,Property9,140151
Object7,Property10,183708
Object8,Property1,218955
Object8,Property2,204659
Object8,Property3,481113
Object8,Property4,459170
Object8,Property5,476841
Object8,Property6,458462
Object8,Property7,336544
Object8,Property8,280735
Object8,Property9,446232
Object8,Property10,213064
Object9,Property1,195016
Object9,Property2,307028
Object9,Property3,223869
Object9,Property4,465824
Object9,Property5,349150
Object9,Property6,208226
Object9,Property7,134655
Object9,Property8,137905
Object9,Property9,491049
Object9,Property10,149927
Object10,Property1,139218
Object10,Property2,179932
Object10,Property3,252811
Object10,Property4,220865
Object10,Property5,361140
Object10,Property6,234139
Object10,Property7,116169
Object10,Property8,482304
Object10,Property9,434823
Object10,Property10,322370
Object11,Property1,280483
Object11,Property2,285280
Object11,Property3,363830
Object11,Property4,250960
Object11,Property5,254197
Object11,Property6,160259
Object11,Property7,309432
Object11,Property8,364320
Object11,Property9,201771
Object11,Property10,480279
Object12,Property1,171915
Object12,Property2,171688
Object12,Property3,254448
Object12,Property4,223982
Object12,Property5,469591
Object12,Property6,475587
Object12,Property7,187351
Object12,Property8,306788
Object12,Property9,277268
Object12,Property10,256111
Object13,Property1,212745
Object13,Property2,473542
Object13,Property3,473578
Object13,Property4,130518
Object13,Property5,124680
Object13,Property6,357249
Object13,Property7,400904
Object13,Property8,424780
Object13,Property9,299067
Object13,Property10,330753
Object14,Property1,160334
Object14,Property2,382270
Object14,Property3,403063
Object14,Property4,290092
Object14,Property5,182946
Object14,Property6,217583
Object14,Property7,367078
Object14,Property8,443038
Object14,Property9,435908
Object14,Property10,388480
Object15,Property1,326267
Object15,Property2,162286
Object15,Property3,367727
Object15,Property4,311477
Object15,Property5,282759
Object15,Property6,336609
Object15,Property7,179005
Object15,Property8,240488
Object15,Property9,217302
Object15,Property10,281732
Object16,Property1,496856
Object16,Property2,437634
Object16,Property3,403434
Object16,Property4,498538
Object16,Property5,147371
Object16,Property6,475800
Object16,Property7,415705
Object16,Property8,197074
Object16,Property9,295741
Object16,Property10,139428
Object17,Property1,144715
Object17,Property2,340598
Object17,Property3,465368
Object17,Property4,499904
Object17,Property5,297415
Object17,Property6,203464
Object17,Property7,203086
Object17,Property8,447760
Object17,Property9,286465
Object17,Property10,431192
Object18,Property1,207694
Object18,Property2,405659
Object18,Property3,443555
Object18,Property4,273177
Object18,Property5,348374
Object18,Property6,434456
Object18,Property7,307726
Object18,Property8,416582
Object18,Property9,156429
Object18,Property10,162620
Object19,Property1,296744
Object19,Property2,493674
Object19,Property3,243188
Object19,Property4,443696
Object19,Property5,284122
Object19,Property6,460629
Object19,Property7,361574
Object19,Property8,349677
Object19,Property9,179137
Object19,Property10,373811
Object20,Property1,447643
Object20,Property2,493215
Object20,Property3,283819
Object20,Property4,401267
Object20,Property5,389223
Object20,Property6,303177
Object20,Property7,466682
Object20,Property8,138588
Object20,Property9,149931
Object20,Property10,117312
Object21,Property1,460635
Object21,Property2,374558
Object21,Property3,266499
Object21,Property4,166198
Object21,Property5,137578
Object21,Property6,171504
Object21,Property7,303343
Object21,Property8,397281
Object21,Property9,465054
Object21,Property10,380354
Object22,Property1,462592
Object22,Property2,282152
Object22,Property3,128722
Object22,Property4,422337
Object22,Property5,481976
Object22,Property6,425447
Object22,Property7,224774
Object22,Property8,188261
Object22,Property9,298228
Object22,Property10,230959
Object23,Property1,282944
Object23,Property2,149203
Object23,Property3,257727
Object23,Property4,167462
Object23,Property5,353054
Object23,Property6,134932
Object23,Property7,466751
Object23,Property8,414350
Object23,Property9,351014
Object23,Property10,470026
Object24,Property1,462392
Object24,Property2,294259
Object24,Property3,176197
Object24,Property4,110945
Object24,Property5,118337
Object24,Property6,292447
Object24,Property7,430891
Object24,Property8,150116
Object24,Property9,292614
Object24,Property10,137861
Object25,Property1,396737
Object25,Property2,436854
Object25,Property3,261032
Object25,Property4,323090
Object25,Property5,141796
Object25,Property6,276822
Object25,Property7,130853
Object25,Property8,215249
Object25,Property9,497552
Object25,Property10,120247
Object26,Property1,394997
Object26,Property2,471490
Object26,Property3,202660
Object26,Property4,106632
Object26,Property5,495794
Object26,Property6,310459
Object26,Property7,455355
Object26,Property8,283382
Object26,Property9,182755
Object26,Property10,467714
Object27,Property1,376249
Object27,Property2,428880
Object27,Property3,308606
Object27,Property4,413183
Object27,Property5,190440
Object27,Property6,238660
Object27,Property7,196450
Object27,Property8,414244
Object27,Property9,184456
Object27,Property10,445839
Object28,Property1,327938
Object28,Property2,472667
Object28,Property3,233427
Object28,Property4,158483
Object28,Property5,216406
