,Object,Property,Value,Source
0,UA-2708-EWR-CLT,Scheduled departure,2011-12-01 2:55 PM,ua
1,UA-2708-EWR-CLT,Actual departure,2011-12-01 2:55 PM,ua
2,UA-2708-EWR-CLT,Departure gate,A37,ua
3,UA-2708-EWR-CLT,Scheduled arrival,2011-12-01 4:53 PM,ua
4,UA-2708-EWR-CLT,Actual arrival,2011-12-01 4:44 PM,ua
5,UA-2708-EWR-CLT,Arrival gate,C5,ua
6,UA-2708-EWR-CLT,Actual departure,2011-12-01 3:04 PM,airtravelcenter
7,UA-2708-EWR-CLT,Actual arrival,2011-12-01 4:22 PM,airtravelcenter
8,UA-2708-EWR-CLT,Actual departure,2011-12-01 3:04 PM,myrateplan
9,UA-2708-EWR-CLT,Actual arrival,2011-12-01 4:22 PM,myrateplan
10,UA-2708-EWR-CLT,Actual departure,2011-12-01 3:04 PM,helloflight
11,UA-2708-EWR-CLT,Actual arrival,2011-12-01 4:22 PM,helloflight
12,UA-2708-EWR-CLT,Actual departure,2011-12-01 3:04 PM,flytecomm
13,UA-2708-EWR-CLT,Actual arrival,2011-12-01 4:22 PM,flytecomm
14,UA-2708-EWR-CLT,Actual departure,2011-12-01 2:52 PM,flights
15,UA-2708-EWR-CLT,Departure gate,37,flights
16,UA-2708-EWR-CLT,Actual arrival,2011-12-01 4:44 PM,flights
17,UA-2708-EWR-CLT,Arrival gate,C5,flights
18,UA-2708-EWR-CLT,Actual departure,2011-12-01 2:52 PM,businesstravellogue
19,UA-2708-EWR-CLT,Departure gate,37,businesstravellogue
20,UA-2708-EWR-CLT,Actual arrival,2011-12-01 4:44 PM,businesstravellogue
21,UA-2708-EWR-CLT,Arrival gate,C5,businesstravellogue
22,UA-2708-EWR-CLT,Actual departure,2011-12-01 2:52 PM,flylouisville
23,UA-2708-EWR-CLT,Departure gate,37,flylouisville
24,UA-2708-EWR-CLT,Actual arrival,2011-12-01 4:44 PM,flylouisville
25,UA-2708-EWR-CLT,Arrival gate,C5,flylouisville
26,UA-2708-EWR-CLT,Scheduled departure,2011-12-01 2:55 PM,flightstats
27,UA-2708-EWR-CLT,Actual departure,2011-12-01 2:52 PM,flightstats
28,UA-2708-EWR-CLT,Scheduled arrival,2011-12-01 4:53 PM,flightstats
29,UA-2708-EWR-CLT,Actual arrival,2011-12-01 4:44 PM,flightstats
30,UA-2708-EWR-CLT,Scheduled departure,2011-12-01 2:55 PM,quicktrip
31,UA-2708-EWR-CLT,Actual departure,2011-12-01 2:52 PM,quicktrip
32,UA-2708-EWR-CLT,Scheduled arrival,2011-12-01 4:53 PM,quicktrip
33,UA-2708-EWR-CLT,Actual arrival,2011-12-01 4:44 PM,quicktrip
34,UA-2708-EWR-CLT,Actual departure,2011-12-01 13:04 PM,flightview
35,UA-2708-EWR-CLT,Actual arrival,2011-12-01 14:24 PM,flightview
36,UA-2708-EWR-CLT,Actual departure,2011-12-01 13:04 PM,panynj
37,UA-2708-EWR-CLT,Actual arrival,2011-12-01 14:24 PM,panynj
38,UA-2708-EWR-CLT,Actual departure,2011-12-01 13:04 PM,gofox
39,UA-2708-EWR-CLT,Actual arrival,2011-12-01 14:24 PM,gofox
40,UA-2708-EWR-CLT,Actual departure,2011-12-01 13:04 PM,foxbusiness
41,UA-2708-EWR-CLT,Actual arrival,2011-12-01 14:24 PM,foxbusiness
42,UA-2708-EWR-CLT,Actual departure,2011-12-01 13:04 PM,allegiantair
43,UA-2708-EWR-CLT,Actual arrival,2011-12-01 14:24 PM,allegiantair
44,UA-2708-EWR-CLT,Actual departure,2011-12-01 13:04 PM,boston
45,UA-2708-EWR-CLT,Actual arrival,2011-12-01 14:24 PM,boston
46,UA-2708-EWR-CLT,Scheduled departure,2011-12-01 2:55 PM,travelocity
47,UA-2708-EWR-CLT,Departure gate,Not provided by airline,travelocity
48,UA-2708-EWR-CLT,Scheduled arrival,2011-12-01 4:53 PM,travelocity
49,UA-2708-EWR-CLT,Arrival gate,Not provided by airline,travelocity
50,UA-2708-EWR-CLT,Scheduled departure,2011-12-01 12:55 PM,orbitz
51,UA-2708-EWR-CLT,Actual departure,2011-12-01 12:52 PM,orbitz
52,UA-2708-EWR-CLT,Departure gate,-,orbitz
53,UA-2708-EWR-CLT,Scheduled arrival,2011-12-01 14:53 PM,orbitz
54,UA-2708-EWR-CLT,Actual arrival,2011-12-01 14:44 PM,orbitz
55,UA-2708-EWR-CLT,Arrival gate,-,orbitz
56,UA-2708-EWR-CLT,Scheduled departure,2011-12-01 2:55 PM,weather
57,UA-2708-EWR-CLT,Scheduled arrival,2011-12-01 4:53 PM,weather
58,UA-2708-EWR-CLT,Actual departure,2011-12-01 13:04 PM,usatoday
59,UA-2708-EWR-CLT,Actual arrival,2011-12-01 14:24 PM,usatoday
60,UA-3925-IAD-ORF,Scheduled departure,2011-12-01 8:41 AM,ua
61,UA-3925-IAD-ORF,Actual departure,2011-12-01 8:42 AM,ua
62,UA-3925-IAD-ORF,Departure gate,A2G,ua
63,UA-3925-IAD-ORF,Scheduled arrival,2011-12-01 9:54 AM,ua
64,UA-3925-IAD-ORF,Actual arrival,2011-12-01 9:43 AM,ua
65,UA-3925-IAD-ORF,Arrival gate,--,ua
66,UA-3925-IAD-ORF,Actual departure,2011-12-01 9:01 AM,flightexplorer
67,UA-3925-IAD-ORF,Actual arrival,2011-12-01 9:39 AM,flightexplorer
68,UA-3925-IAD-ORF,Actual departure,2011-12-01 9:00 AM,airtravelcenter
69,UA-3925-IAD-ORF,Actual arrival,2011-12-01 9:29 AM,airtravelcenter
70,UA-3925-IAD-ORF,Actual departure,2011-12-01 9:00 AM,myrateplan
71,UA-3925-IAD-ORF,Actual arrival,2011-12-01 9:29 AM,myrateplan
72,UA-3925-IAD-ORF,Actual departure,2011-12-01 9:00 AM,helloflight
73,UA-3925-IAD-ORF,Actual arrival,2011-12-01 9:29 AM,helloflight
74,UA-3925-IAD-ORF,Actual departure,2011-12-01 9:00 AM,flytecomm
75,UA-3925-IAD-ORF,Actual arrival,2011-12-01 9:29 AM,flytecomm
76,UA-3925-IAD-ORF,Scheduled departure,2011-12-01 8:41 AM,flightaware
77,UA-3925-IAD-ORF,Actual departure,2011-12-01 8:51 AM,flightaware
78,UA-3925-IAD-ORF,Departure gate,A2A,flightaware
79,UA-3925-IAD-ORF,Scheduled arrival,2011-12-01 9:34 AM,flightaware
80,UA-3925-IAD-ORF,Actual arrival,2011-12-01 9:44 AM,flightaware
81,UA-3925-IAD-ORF,Scheduled departure,2011-12-01 8:41 AM,wunderground
82,UA-3925-IAD-ORF,Actual departure,2011-12-01 8:51 AM,wunderground
83,UA-3925-IAD-ORF,Departure gate,A2A,wunderground
84,UA-3925-IAD-ORF,Scheduled arrival,2011-12-01 9:34 AM,wunderground
85,UA-3925-IAD-ORF,Actual arrival,2011-12-01 9:44 AM,wunderground
86,UA-3925-IAD-ORF,Actual departure,2011-12-01 8:42 AM,flights
87,UA-3925-IAD-ORF,Departure gate,A2,flights
88,UA-3925-IAD-ORF,Actual arrival,2011-12-01 9:43 AM,flights
89,UA-3925-IAD-ORF,Actual departure,2011-12-01 8:42 AM,businesstravellogue
90,UA-3925-IAD-ORF,Departure gate,A2,businesstravellogue
91,UA-3925-IAD-ORF,Actual arrival,2011-12-01 9:43 AM,businesstravellogue
92,UA-3925-IAD-ORF,Actual departure,2011-12-01 8:42 AM,flylouisville
93,UA-3925-IAD-ORF,Departure gate,A2,flylouisville
94,UA-3925-IAD-ORF,Actual arrival,2011-12-01 9:43 AM,flylouisville
95,UA-3925-IAD-ORF,Scheduled departure,2011-12-01 8:41 AM,flightstats
96,UA-3925-IAD-ORF,Actual departure,2011-12-01 8:42 AM,flightstats
97,UA-3925-IAD-ORF,Scheduled arrival,2011-12-01 9:54 AM,flightstats
98,UA-3925-IAD-ORF,Actual arrival,2011-12-01 9:43 AM,flightstats
99,UA-3925-IAD-ORF,Scheduled departure,2011-12-01 8:41 AM,quicktrip
100,UA-3925-IAD-ORF,Actual departure,2011-12-01 8:42 AM,quicktrip
101,UA-3925-IAD-ORF,Scheduled arrival,2011-12-01 9:54 AM,quicktrip
102,UA-3925-IAD-ORF,Actual arrival,2011-12-01 9:43 AM,quicktrip
103,UA-3925-IAD-ORF,Actual departure,2011-12-01 19:01 AM,flightview
104,UA-3925-IAD-ORF,Actual arrival,2011-12-01 19:43 AM,flightview
105,UA-3925-IAD-ORF,Actual departure,2011-12-01 19:01 AM,panynj
106,UA-3925-IAD-ORF,Actual arrival,2011-12-01 19:43 AM,panynj
107,UA-3925-IAD-ORF,Actual departure,2011-12-01 19:01 AM,gofox
108,UA-3925-IAD-ORF,Actual arrival,2011-12-01 19:43 AM,gofox
109,UA-3925-IAD-ORF,Actual departure,2011-12-01 19:01 AM,foxbusiness
110,UA-3925-IAD-ORF,Actual arrival,2011-12-01 19:43 AM,foxbusiness
111,UA-3925-IAD-ORF,Actual departure,2011-12-01 19:01 AM,allegiantair
112,UA-3925-IAD-ORF,Actual arrival,2011-12-01 19:43 AM,allegiantair
113,UA-3925-IAD-ORF,Actual departure,2011-12-01 19:01 AM,boston
114,UA-3925-IAD-ORF,Actual arrival,2011-12-01 19:40 AM,boston
115,UA-3925-IAD-ORF,Actual departure,2011-12-01 9:00 AM,travelocity
116,UA-3925-IAD-ORF,Departure gate,A2G,travelocity
117,UA-3925-IAD-ORF,Actual arrival,2011-12-01 9:43 AM,travelocity
118,UA-3925-IAD-ORF,Arrival gate,CHK,travelocity
119,UA-3925-IAD-ORF,Scheduled departure,2011-12-01 18:41 AM,orbitz
120,UA-3925-IAD-ORF,Departure gate,-,orbitz
121,UA-3925-IAD-ORF,Scheduled arrival,2011-12-01 19:54 AM,orbitz
122,UA-3925-IAD-ORF,Arrival gate,-,orbitz
123,UA-3925-IAD-ORF,Scheduled departure,2011-12-01 8:41 AM,weather
124,UA-3925-IAD-ORF,Scheduled arrival,2011-12-01 9:54 AM,weather
125,UA-3925-IAD-ORF,Scheduled departure,2011-12-01 8:41 AM,ifly
126,UA-3925-IAD-ORF,Actual departure,2011-12-01 8:42 AM,ifly
127,UA-3925-IAD-ORF,Scheduled arrival,2011-12-01 9:54 AM,ifly
128,UA-3925-IAD-ORF,Actual arrival,2011-12-01 9:43 AM,ifly
129,UA-3925-IAD-ORF,Scheduled departure,2011-12-01 8:41 AM,usatoday
130,UA-3925-IAD-ORF,Scheduled arrival,2011-12-01 9:54 AM,usatoday
131,UA-3925-IAD-ORF,Scheduled departure,2011-12-01 18:41 AM,mytripandmore
132,UA-3925-IAD-ORF,Departure gate,-,mytripandmore
133,UA-3925-IAD-ORF,Scheduled arrival,2011-12-01 19:54 AM,mytripandmore
134,UA-3925-IAD-ORF,Arrival gate,-,mytripandmore
135,UA-3925-IAD-ORF,Scheduled departure,2011-12-01 8:41 AM,flightwise
136,UA-3925-IAD-ORF,Actual departure,2011-12-01 8:51 AM,flightwise
137,UA-3925-IAD-ORF,Departure gate,A2A,flightwise
138,UA-3925-IAD-ORF,Scheduled arrival,2011-12-01 9:34 AM,flightwise
139,UA-3925-IAD-ORF,Actual arrival,2011-12-01 9:44 AM,flightwise
140,UA-3925-IAD-ORF,Scheduled departure,2011-12-01 8:41 AM,flightarrival
141,UA-3925-IAD-ORF,Scheduled arrival,2011-12-01 9:54 AM,flightarrival
142,AA-649-ORD-SNA,Scheduled departure,2011-12-01 1:30 PM,aa
143,AA-649-ORD-SNA,Departure gate,H10,aa
144,AA-649-ORD-SNA,Scheduled arrival,2011-12-01 3:50 PM,aa
145,AA-649-ORD-SNA,Arrival gate,7,aa
146,AA-649-ORD-SNA,Scheduled departure,2011-12-01 1:30 PM,flightexplorer
147,AA-649-ORD-SNA,Scheduled arrival,2011-12-01 3:50 PM,flightexplorer
148,AA-649-ORD-SNA,Scheduled departure,2011-12-01 1:30 PM,flightaware
149,AA-649-ORD-SNA,Departure gate,H10,flightaware
150,AA-649-ORD-SNA,Scheduled arrival,2011-12-01 3:30 PM,flightaware
151,AA-649-ORD-SNA,Arrival gate,7,flightaware
152,AA-649-ORD-SNA,Scheduled departure,2011-12-01 1:30 PM,wunderground
153,AA-649-ORD-SNA,Departure gate,H10,wunderground
154,AA-649-ORD-SNA,Scheduled arrival,2011-12-01 3:30 PM,wunderground
155,AA-649-ORD-SNA,Arrival gate,7,wunderground
156,AA-649-ORD-SNA,Scheduled departure,2011-12-01 1:30 PM,flights
157,AA-649-ORD-SNA,Departure gate,H10,flights
158,AA-649-ORD-SNA,Scheduled arrival,2011-12-01 3:50 PM,flights
159,AA-649-ORD-SNA,Arrival gate,7,flights
160,AA-649-ORD-SNA,Scheduled departure,2011-12-01 1:30 PM,businesstravellogue
161,AA-649-ORD-SNA,Departure gate,H10,businesstravellogue
162,AA-649-ORD-SNA,Scheduled arrival,2011-12-01 3:50 PM,businesstravellogue
163,AA-649-ORD-SNA,Arrival gate,7,businesstravellogue
164,AA-649-ORD-SNA,Scheduled departure,2011-12-01 1:30 PM,flylouisville
165,AA-649-ORD-SNA,Departure gate,H10,flylouisville
166,AA-649-ORD-SNA,Scheduled arrival,2011-12-01 3:50 PM,flylouisville
167,AA-649-ORD-SNA,Arrival gate,7,flylouisville
168,AA-649-ORD-SNA,Scheduled departure,2011-12-01 1:30 PM,world-flight-tracker
169,AA-649-ORD-SNA,Scheduled arrival,2011-12-01 3:50 PM,world-flight-tracker
170,AA-649-ORD-SNA,Scheduled departure,2011-12-01 11:30 PM,flightview
171,AA-649-ORD-SNA,Departure gate,H10,flightview
172,AA-649-ORD-SNA,Scheduled arrival,2011-12-01 13:50 PM,flightview
173,AA-649-ORD-SNA,Arrival gate,Terminal A - 7,flightview
174,AA-649-ORD-SNA,Scheduled departure,2011-12-01 11:30 PM,panynj
175,AA-649-ORD-SNA,Departure gate,H10,panynj
176,AA-649-ORD-SNA,Scheduled arrival,2011-12-01 13:50 PM,panynj
177,AA-649-ORD-SNA,Arrival gate,Terminal A - 7,panynj
178,AA-649-ORD-SNA,Scheduled departure,2011-12-01 11:30 PM,gofox
179,AA-649-ORD-SNA,Scheduled arrival,2011-12-01 13:50 PM,gofox
180,AA-649-ORD-SNA,Scheduled departure,2011-12-01 11:30 PM,foxbusiness
181,AA-649-ORD-SNA,Departure gate,H10,foxbusiness
182,AA-649-ORD-SNA,Scheduled arrival,2011-12-01 13:50 PM,foxbusiness
183,AA-649-ORD-SNA,Arrival gate,Terminal A - 7,foxbusiness
184,AA-649-ORD-SNA,Scheduled departure,2011-12-01 11:30 PM,allegiantair
185,AA-649-ORD-SNA,Departure gate,H10,allegiantair
186,AA-649-ORD-SNA,Scheduled arrival,2011-12-01 13:50 PM,allegiantair
187,AA-649-ORD-SNA,Arrival gate,Terminal A - 7,allegiantair
188,AA-649-ORD-SNA,Scheduled departure,2011-12-01 11:30 PM,boston
189,AA-649-ORD-SNA,Scheduled arrival,2011-12-01 13:50 PM,boston
190,AA-649-ORD-SNA,Scheduled departure,2011-12-01 1:30 PM,travelocity
191,AA-649-ORD-SNA,Departure gate,H10/T3,travelocity
192,AA-649-ORD-SNA,Scheduled arrival,2011-12-01 3:50 PM,travelocity
193,AA-649-ORD-SNA,Arrival gate,7,travelocity
194,AA-649-ORD-SNA,Scheduled departure,2011-12-01 11:30 PM,orbitz
195,AA-649-ORD-SNA,Departure gate,H10,orbitz
196,AA-649-ORD-SNA,Scheduled arrival,2011-12-01 13:50 PM,orbitz
197,AA-649-ORD-SNA,Arrival gate,7,orbitz
198,AA-649-ORD-SNA,Scheduled departure,2011-12-01 1:30 PM,weather
199,AA-649-ORD-SNA,Scheduled arrival,2011-12-01 3:50 PM,weather
200,AA-649-ORD-SNA,Scheduled departure,2011-12-01 1:30 PM,mytripandmore
201,AA-649-ORD-SNA,Departure gate,H10/T3,mytripandmore
202,AA-649-ORD-SNA,Scheduled arrival,2011-12-01 3:50 PM,mytripandmore
203,AA-649-ORD-SNA,Arrival gate,7,mytripandmore
204,UA-382-IAD-LAX,Scheduled departure,2011-12-01 12:30 PM,ua
205,UA-382-IAD-LAX,Actual departure,2011-12-01 12:35 PM,ua
206,UA-382-IAD-LAX,Departure gate,D1,ua
207,UA-382-IAD-LAX,Scheduled arrival,2011-12-01 3:19 PM,ua
208,UA-382-IAD-LAX,Actual arrival,2011-12-01 3:11 PM,ua
209,UA-382-IAD-LAX,Arrival gate,75B,ua
210,UA-382-IAD-LAX,Scheduled departure,2011-12-01 12:30 PM,ua
211,UA-382-IAD-LAX,Actual departure,2011-12-01 12:35 PM,ua
212,UA-382-IAD-LAX,Departure gate,D1,ua
213,UA-382-IAD-LAX,Scheduled arrival,2011-12-01 3:19 PM,ua
214,UA-382-IAD-LAX,Actual arrival,2011-12-01 3:21 PM,ua
215,UA-382-IAD-LAX,Arrival gate,75B,ua
216,UA-382-IAD-LAX,Actual departure,2011-12-01 12:55 PM,flightexplorer
217,UA-382-IAD-LAX,Actual arrival,2011-12-01 3:12 PM,flightexplorer
218,UA-382-IAD-LAX,Actual departure,2011-12-01 12:55 PM,flightexplorer
219,UA-382-IAD-LAX,Actual arrival,2011-12-01 3:07 PM,flightexplorer
220,UA-382-IAD-LAX,Actual departure,2011-12-01 12:56 PM,airtravelcenter
