Object,Property,Value
AA-1221-MCO-ORD,Scheduled departure,2011-12-01 8:00 PM
AA-1221-MCO-ORD,Actual departure,2011-12-01 8:23 PM
AA-1221-MCO-ORD,Departure gate,17
AA-1221-MCO-ORD,Scheduled arrival,2011-12-01 9:45 PM
AA-1221-MCO-ORD,Actual arrival,2011-12-01 9:53 PM
AA-1221-MCO-ORD,Arrival gate,K7
AA-4307-ORD-DTW,Scheduled departure,2011-12-01 6:45 PM
AA-4307-ORD-DTW,Actual departure,2011-12-01 6:55 PM
AA-4307-ORD-DTW,Departure gate,G19A
AA-4307-ORD-DTW,Scheduled arrival,2011-12-01 9:10 PM
AA-4307-ORD-DTW,Actual arrival,2011-12-01 8:53 PM
AA-4307-ORD-DTW,Arrival gate,D28
AA-616-DFW-DTW,Scheduled departure,2011-12-01 9:05 AM
AA-616-DFW-DTW,Actual departure,2011-12-01 10:10 AM
AA-616-DFW-DTW,Departure gate,D37
AA-616-DFW-DTW,Scheduled arrival,2011-12-01 12:35 PM
AA-616-DFW-DTW,Actual arrival,2011-12-01 1:27 PM
AA-616-DFW-DTW,Arrival gate,D32
AA-431-MIA-SFO,Scheduled departure,2011-12-01 8:35 AM
AA-431-MIA-SFO,Actual departure,2011-12-01 8:51 AM
AA-431-MIA-SFO,Departure gate,E9
AA-431-MIA-SFO,Scheduled arrival,2011-12-01 11:50 AM
AA-431-MIA-SFO,Actual arrival,2011-12-01 11:44 AM
AA-431-MIA-SFO,Arrival gate,57
AA-3756-ORD-SLC,Scheduled departure,2011-12-01 12:15 PM
AA-3756-ORD-SLC,Actual departure,2011-12-01 12:41 PM
AA-3756-ORD-SLC,Departure gate,G19
AA-3756-ORD-SLC,Scheduled arrival,2011-12-01 2:45 PM
AA-3756-ORD-SLC,Actual arrival,2011-12-01 2:50 PM
AA-3756-ORD-SLC,Arrival gate,A3
AA-2050-ORD-MIA,Scheduled departure,2011-12-01 10:40 AM
AA-2050-ORD-MIA,Actual departure,2011-12-01 11:05 AM
AA-2050-ORD-MIA,Departure gate,H15
AA-2050-ORD-MIA,Scheduled arrival,2011-12-01 2:45 PM
AA-2050-ORD-MIA,Actual arrival,2011-12-01 2:46 PM
AA-2050-ORD-MIA,Arrival gate,D1
AA-3804-PHL-ORD,Scheduled departure,2011-12-01 2:35 PM
AA-3804-PHL-ORD,Actual departure,2011-12-01 2:44 PM
AA-3804-PHL-ORD,Departure gate,A7
AA-3804-PHL-ORD,Scheduled arrival,2011-12-01 4:05 PM
AA-3804-PHL-ORD,Actual arrival,2011-12-01 3:43 PM
AA-3804-PHL-ORD,Arrival gate,H3A
AA-1664-MIA-ATL,Scheduled departure,2011-12-01 10:15 AM
AA-1664-MIA-ATL,Actual departure,2011-12-01 10:18 AM
AA-1664-MIA-ATL,Departure gate,D1
AA-1664-MIA-ATL,Scheduled arrival,2011-12-01 12:10 PM
AA-1664-MIA-ATL,Actual arrival,2011-12-01 11:56 AM
AA-1664-MIA-ATL,Arrival gate,T11
AA-789-ORD-DEN,Scheduled departure,2011-12-01 1:05 PM
AA-789-ORD-DEN,Actual departure,2011-12-01 1:19 PM
AA-789-ORD-DEN,Departure gate,H11A
AA-789-ORD-DEN,Scheduled arrival,2011-12-01 2:35 PM
AA-789-ORD-DEN,Actual arrival,2011-12-01 3:13 PM
AA-789-ORD-DEN,Arrival gate,A49
AA-1733-ORD-PHX,Scheduled departure,2011-12-01 7:45 PM
AA-1733-ORD-PHX,Actual departure,2011-12-01 7:58 PM
