,Object,Property,Value,Source
0,sial,Change %,1.17,advfn
1,sial,Last trading price,74.24,advfn
2,sial,Open price,73.54,advfn
3,sial,Change $,0.86,advfn
4,sial,Volume,674663.0,advfn
5,sial,Today's high,74.265,advfn
6,sial,Today's low,73.07,advfn
7,sial,Change %,1.17,barchart
8,sial,Last trading price,74.24,barchart
9,sial,Open price,73.54,barchart
10,sial,Change $,0.86,barchart
11,sial,Volume,624505.0,barchart
12,sial,Today's high,74.26,barchart
13,sial,Today's low,73.07,barchart
14,sial,Previous close,73.38,barchart
15,sial,52wk High,74.26,barchart
16,sial,52wk Low,48.27,barchart
17,sial,Market cap,9040000000.0,barchart
18,sial,Yield,1.0,barchart
19,sial,Dividend,0.72,barchart
20,sial,EPS,3.28,barchart
21,sial,Change %,1.17,barrons
22,sial,Last trading price,74.24,barrons
23,sial,Open price,73.54,barrons
24,sial,Change $,0.86,barrons
25,sial,Volume,668438.0,barrons
26,sial,Today's high,74.265,barrons
27,sial,Today's low,73.07,barrons
28,sial,Shares Outstanding,123000000.0,barrons
29,sial,Market cap,8730000000.0,barrons
30,sial,Yield,0.97,barrons
31,sial,Dividend,0.18,barrons
32,sial,Change %,1.172,bloomberg
33,sial,Last trading price,74.24,bloomberg
34,sial,Open price,73.54,bloomberg
35,sial,Change $,0.86,bloomberg
36,sial,Volume,674663.0,bloomberg
37,sial,Today's high,74.265,bloomberg
38,sial,Today's low,73.07,bloomberg
39,sial,52wk High,74.26,bloomberg
40,sial,52wk Low,48.8,bloomberg
41,sial,Shares Outstanding,121827000.0,bloomberg
42,sial,Market cap,9044402000.0,bloomberg
43,sial,Yield,0.917,bloomberg
44,sial,Dividend,0.18,bloomberg
45,sial,EPS,3.41,bloomberg
46,sial,Change %,1.172,boston-com
47,sial,Last trading price,74.24,boston-com
48,sial,Open price,73.54,boston-com
49,sial,Change $,0.86,boston-com
50,sial,Volume,674263.0,boston-com
51,sial,Today's high,74.27,boston-com
52,sial,Today's low,73.07,boston-com
53,sial,Previous close,73.38,boston-com
54,sial,52wk High,73.6,boston-com
55,sial,52wk Low,48.8,boston-com
56,sial,Shares Outstanding,121826546.0,boston-com
57,sial,Change %,1.172,bostonmerchant
58,sial,Last trading price,74.24,bostonmerchant
59,sial,Open price,73.54,bostonmerchant
60,sial,Change $,0.86,bostonmerchant
61,sial,Volume,674263.0,bostonmerchant
62,sial,Today's high,74.27,bostonmerchant
63,sial,Today's low,73.07,bostonmerchant
64,sial,Previous close,73.38,bostonmerchant
65,sial,52wk High,73.6,bostonmerchant
66,sial,52wk Low,48.8,bostonmerchant
67,sial,Shares Outstanding,121826546.0,bostonmerchant
68,sial,Change %,1.172,business-insider
69,sial,Last trading price,74.24,business-insider
70,sial,Open price,73.54,business-insider
71,sial,Change $,0.86,business-insider
72,sial,Volume,674263.0,business-insider
73,sial,Today's high,74.27,business-insider
74,sial,Today's low,73.07,business-insider
75,sial,Previous close,73.38,business-insider
76,sial,52wk High,73.6,business-insider
77,sial,52wk Low,48.8,business-insider
78,sial,Shares Outstanding,121826546.0,business-insider
79,sial,Change %,1.172,chron
80,sial,Last trading price,74.24,chron
81,sial,Open price,73.54,chron
82,sial,Change $,0.86,chron
83,sial,Volume,673214.0,chron
84,sial,Today's high,74.27,chron
85,sial,Today's low,73.07,chron
86,sial,Previous close,73.38,chron
87,sial,52wk High,73.6,chron
88,sial,52wk Low,48.8,chron
89,sial,Shares Outstanding,121826546.0,chron
90,sial,Change %,1.17,cio-com
91,sial,Last trading price,74.24,cio-com
92,sial,Open price,73.54,cio-com
93,sial,Change $,0.86,cio-com
94,sial,Volume,673214.0,cio-com
95,sial,Today's high,74.27,cio-com
96,sial,Today's low,73.07,cio-com
97,sial,Previous close,73.38,cio-com
98,sial,52wk High,73.6,cio-com
99,sial,52wk Low,48.8,cio-com
100,sial,Shares Outstanding,121826546.0,cio-com
101,sial,Market cap,9000000000.0,cio-com
102,sial,Yield,1.0,cio-com
103,sial,Dividend,0.72,cio-com
104,sial,Change %,1.17,cnn-money
105,sial,Last trading price,74.24,cnn-money
106,sial,Open price,73.54,cnn-money
107,sial,Change $,0.86,cnn-money
108,sial,Volume,671219.0,cnn-money
109,sial,Today's high,74.27,cnn-money
110,sial,Today's low,73.07,cnn-money
111,sial,Previous close,73.38,cnn-money
112,sial,Market cap,9000000000.0,cnn-money
113,sial,Yield,0.97,cnn-money
114,sial,Change %,1.17,easystockalterts
