Object,Property,Value
aapl,Change %,2.26
aapl,Last trading price,343.26
aapl,Open price,335.95
aapl,Change $,7.59
aapl,Volume,15447286.0
aapl,Today's high,343.5
aapl,Today's low,334.2
aapl,Previous close,335.67
aapl,52wk High,364.9
aapl,52wk Low,235.56
aapl,Shares Outstanding,924755000.0
aapl,Market cap,317431401300.0
aapl,EPS,20.98
adbe,Change %,0.25
adbe,Last trading price,31.53
adbe,Open price,31.33
adbe,Change $,0.08
adbe,Volume,4107435.0
adbe,Today's high,31.65
adbe,Today's low,31.24
adbe,Previous close,31.45
adbe,52wk High,35.99
adbe,52wk Low,25.45
adbe,Shares Outstanding,504459000.0
adbe,Market cap,15905592270.0
adbe,EPS,1.88
adp,Change %,2.3
adp,Last trading price,53.89
adp,Open price,52.56
adp,Change $,1.21
adp,Volume,2951543.0
adp,Today's high,53.99
adp,Today's low,52.48
adp,Previous close,52.68
adp,52wk High,55.12
adp,52wk Low,38.41
adp,Shares Outstanding,499705000.0
adp,Market cap,26929102450.0
adp,Yield,2.73
adp,Dividend,1.44
adp,EPS,2.45
adsk,Change %,0.26
adsk,Last trading price,38.7
adsk,Open price,38.6
adsk,Change $,0.1
adsk,Volume,3268365.0
adsk,Today's high,38.89
adsk,Today's low,38.44
adsk,Previous close,38.6
adsk,52wk High,46.15
adsk,52wk Low,23.64
adsk,Shares Outstanding,229803000.0
adsk,Market cap,8893376100.0
adsk,EPS,1.03
akam,Change %,0.06
akam,Last trading price,31.49
akam,Open price,31.37
akam,Change $,0.02
akam,Volume,5000537.0
akam,Today's high,31.65
akam,Today's low,30.98
akam,Previous close,31.47
akam,52wk High,54.65
akam,52wk Low,28.69
akam,Shares Outstanding,186707000.0
akam,Market cap,5879403430.0
akam,EPS,0.94
altr,Change %,2.55
altr,Last trading price,47.53
altr,Open price,46.44
altr,Change $,1.18
altr,Volume,3756676.0
altr,Today's high,47.75
altr,Today's low,46.2
altr,Previous close,46.35
altr,52wk High,49.59
altr,52wk Low,24.2
altr,Shares Outstanding,322224000.0
altr,Market cap,15315306720.0
altr,Yield,0.52
altr,Dividend,0.24
altr,EPS,2.67
alxn,Change %,1.02
alxn,Last trading price,47.51
alxn,Open price,46.91
alxn,Change $,0.48
alxn,Volume,841901.0
alxn,Today's high,47.51
alxn,Today's low,46.91
alxn,Previous close,47.03
alxn,52wk High,52.5
alxn,52wk Low,24.305
alxn,Shares Outstanding,183835000.0
alxn,Market cap,8734000850.0
alxn,EPS,0.55
amat,Change %,2.15
amat,Last trading price,13.29
amat,Open price,13.01
amat,Change $,0.28
amat,Volume,11620332.0
amat,Today's high,13.31
amat,Today's low,12.88
amat,Previous close,13.01
amat,52wk High,16.93
amat,52wk Low,10.27
amat,Shares Outstanding,1318250000.0
amat,Market cap,17519542500.0
amat,Yield,2.46
amat,Dividend,0.32
amat,EPS,1.19
amgn,Change %,0.12
amgn,Last trading price,58.28
amgn,Open price,58.44
amgn,Change $,0.07
amgn,Volume,5227063.0
amgn,Today's high,58.44
amgn,Today's low,57.89
amgn,Previous close,58.35
amgn,52wk High,61.53
amgn,52wk Low,50.26
amgn,Shares Outstanding,929731000.0
amgn,Market cap,54184722680.0
amgn,EPS,4.81
amzn,Change %,2.45
amzn,Last trading price,209.49
amzn,Open price,205.55
amzn,Change $,5.0
amzn,Volume,3978982.0
amzn,Today's high,210.27
amzn,Today's low,203.61
amzn,Previous close,204.49
amzn,52wk High,206.39
amzn,52wk Low,105.8
amzn,Shares Outstanding,452043000.0
amzn,Market cap,94698488070.0
amzn,EPS,2.31
apol,Change %,6.36
apol,Last trading price,46.46
apol,Open price,45.98
apol,Change $,2.78
apol,Volume,6387831.0
apol,Today's high,47.72
apol,Today's low,45.62
apol,Previous close,43.68
apol,52wk High,53.61
apol,52wk Low,33.75
apol,Shares Outstanding,141128000.0
apol,Market cap,6556806880.0
apol,EPS,2.95
atvi,Change %,1.37
atvi,Last trading price,11.84
atvi,Open price,11.71
atvi,Change $,0.16
atvi,Volume,3428756.0
atvi,Today's high,11.88
atvi,Today's low,11.64
atvi,Previous close,11.68
atvi,52wk High,12.65
atvi,52wk Low,10.32
atvi,Shares Outstanding,1144165000.0
atvi,Market cap,13546913600.0
atvi,EPS,0.43
bbby,Change %,1.75
bbby,Last trading price,59.39
bbby,Open price,58.48
bbby,Change $,1.02
bbby,Volume,2185264.0
bbby,Today's high,59.525
bbby,Today's low,58.4
bbby,Previous close,58.37
bbby,52wk High,58.62
bbby,52wk Low,35.55
bbby,Shares Outstanding,249128000.0
bbby,Market cap,14795711920.0
bbby,EPS,3.28
bidu,Change %,2.3
bidu,Last trading price,143.346
bidu,Open price,139.44
