Object,Property,Value,Source,TSInitial,C_v
Object1,Property2,386311,Source1,0.8,0.0
Object1,Property3,322392,Source1,0.8,0.0
Object2,Property2,416535,Source1,0.8,0.0
Object2,Property3,359315,Source1,0.8,0.0
Object3,Property2,313373,Source1,0.8,0.0
Object3,Property3,192511,Source1,0.8,0.0
Object4,Property2,109166,Source1,0.8,0.0
Object4,Property3,225478,Source1,0.8,0.0
Object5,Property2,194861,Source1,0.8,0.0
Object5,Property3,100868,Source1,0.8,0.0
Object6,Property2,483031,Source1,0.8,0.0
Object6,Property3,365355,Source1,0.8,0.0
Object7,Property2,369630,Source1,0.8,0.0
Object7,Property3,129955,Source1,0.8,0.0
Object8,Property2,253106,Source1,0.8,0.0
Object8,Property3,276424,Source1,0.8,0.0
Object9,Property2,249565,Source1,0.8,0.0
Object9,Property3,207381,Source1,0.8,0.0
Object10,Property2,276008,Source1,0.8,0.0
Object10,Property3,383811,Source1,0.8,0.0
Object1,Property2,386311,Source3,0.8,0.0
Object1,Property3,322392,Source3,0.8,0.0
Object2,Property2,416535,Source3,0.8,0.0
Object2,Property3,359315,Source3,0.8,0.0
Object3,Property2,313373,Source3,0.8,0.0
Object3,Property3,192511,Source3,0.8,0.0
Object4,Property2,109166,Source3,0.8,0.0
Object4,Property3,225478,Source3,0.8,0.0
Object5,Property2,194861,Source3,0.8,0.0
Object5,Property3,100868,Source3,0.8,0.0
Object6,Property2,483031,Source3,0.8,0.0
Object6,Property3,838044,Source3,0.8,0.0
Object7,Property2,771569,Source3,0.8,0.0
Object7,Property3,731725,Source3,0.8,0.0
Object8,Property2,565366,Source3,0.8,0.0
Object8,Property3,612215,Source3,0.8,0.0
Object9,Property2,644089,Source3,0.8,0.0
Object9,Property3,668143,Source3,0.8,0.0
Object10,Property2,617412,Source3,0.8,0.0
Object10,Property3,525471,Source3,0.8,0.0
Object1,Property2,386311,Source5,0.8,0.0
Object1,Property3,322392,Source5,0.8,0.0
Object2,Property2,416535,Source5,0.8,0.0
Object2,Property3,359315,Source5,0.8,0.0
Object3,Property2,313373,Source5,0.8,0.0
Object3,Property3,192511,Source5,0.8,0.0
Object4,Property2,109166,Source5,0.8,0.0
Object4,Property3,225478,Source5,0.8,0.0
Object5,Property2,194861,Source5,0.8,0.0
Object5,Property3,100868,Source5,0.8,0.0
Object6,Property2,483031,Source5,0.8,0.0
