Object,Property,Value,False
Object1,Property1,489774,"[773116, 701330, 702614, 567906, 685803, 911030, 829892, 510939, 948093, 860972, 594014, 578206, 514168, 702916, 707175, 896536, 540148, 743572, 791991, 939767]"
Object1,Property2,386311,"[551048, 794967, 978782, 891497, 503752, 638159, 517383, 754974, 543667, 670844, 602048, 855845, 753428, 762498, 734048, 651150, 633347, 932264, 612360, 538705]"
Object1,Property3,322392,"[892318, 970165, 815776, 540685, 792819, 611045, 741170, 796872, 683240, 861137, 545810, 565897, 561389, 841287, 960840, 626701, 742116, 685781, 564272, 924270]"
Object2,Property1,498000,"[974301, 586689, 613943, 758828, 599817, 563055, 938392, 923134, 824528, 991673, 627317, 533604, 645243, 712087, 741416, 957767, 584864, 680836, 855768, 767068]"
Object2,Property2,416535,"[523971, 936810, 556444, 672998, 625162, 850573, 891704, 718837, 964126, 607373, 901186, 993964, 563578, 640068, 594020, 710482, 512083, 733552, 987672, 832466]"
Object2,Property3,359315,"[850462, 816871, 639970, 932996, 565733, 521237, 610628, 950335, 938872, 924770, 690169, 632053, 655179, 889538, 775730, 832972, 942477, 825050, 902535, 809666]"
Object3,Property1,159117,"[673706, 893123, 825240, 983243, 668845, 506022, 850886, 901025, 857536, 862909, 533599, 883513, 655503, 975994, 537388, 784023, 533935, 794061, 539198, 834356]"
Object3,Property2,313373,"[812145, 930645, 728471, 632344, 587940, 757488, 868164, 934623, 931941, 690775, 692784, 907282, 572821, 947364, 835651, 519511, 614310, 676633, 702939, 806345]"
Object3,Property3,192511,"[886747, 635319, 716630, 649725, 648505, 982135, 973213, 541997, 598853, 836198, 988160, 579352, 618529, 781521, 621069, 800735, 739808, 844135, 678179, 856624]"
Object4,Property1,454483,"[643584, 947536, 812927, 866115, 706038, 580406, 579169, 853135, 890566, 695247, 901467, 669540, 844056, 810319, 603560, 717826, 598258, 831105, 501688, 794710]"
Object4,Property2,109166,"[864636, 766468, 886974, 637213, 697566, 516541, 610742, 709495, 575775, 900320, 654639, 635543, 733162, 579079, 814111, 980671, 910273, 693276, 822102, 565392]"
Object4,Property3,225478,"[649514, 563852, 711066, 921445, 681238, 810339, 534002, 594486, 517011, 846719, 872736, 689218, 864891, 658348, 541909, 788661, 788038, 613923, 989884, 791940]"
Object5,Property1,489839,"[826137, 516443, 646171, 968500, 920195, 786969, 957087, 810610, 585849, 818891, 676643, 720699, 817576, 621266, 619562, 876880, 550739, 776241, 796424, 552115]"
Object5,Property2,194861,"[806896, 849933, 927990, 648542, 616946, 604695, 631745, 863105, 905027, 819501, 856393, 593486, 667367, 596861, 960535, 951115, 936148, 852944, 609989, 541811]"
Object5,Property3,100868,"[636542, 637169, 787719, 754292, 585577, 501518, 919482, 556786, 824266, 930598, 814429, 904480, 910181, 780708, 923305, 605414, 935261, 732414, 800658, 816106]"
Object6,Property1,400264,"[720698, 600395, 550417, 629184, 811915, 783633, 909729, 816221, 548180, 622055, 883726, 814109, 713074, 638244, 798068, 865495, 974985, 637752, 518048, 626296]"
Object6,Property2,483031,"[927664, 847205, 782068, 826135, 754931, 515802, 998043, 512955, 925523, 762066, 590485, 877038, 817151, 635096, 637103, 618979, 594564, 556407, 637670, 766479]"
Object6,Property3,365355,"[505906, 830629, 983891, 509475, 838044, 589787, 672047, 594856, 733793, 755204, 689733, 665163, 667447, 769004, 659672, 916431, 602204, 699919, 582409, 626405]"
Object7,Property1,194919,"[580307, 612355, 515388, 816944, 842758, 611544, 741386, 509545, 880681, 581716, 991460, 526481, 581237, 825691, 583891, 513882, 693903, 708587, 884492, 799492]"
Object7,Property2,369630,"[742120, 760228, 582534, 958016, 581658, 516081, 522267, 763028, 529983, 689852, 830559, 921971, 539264, 771569, 891918, 550397, 836786, 543422, 616609, 839904]"
Object7,Property3,129955,"[922794, 559626, 936130, 703887, 554569, 801569, 743140, 819599, 512124, 550437, 856670, 919743, 993720, 669391, 698917, 542170, 731725, 509931, 632764, 953026]"
Object8,Property1,340063,"[668949, 751604, 871661, 937219, 952950, 595022, 817184, 997041, 940552, 518013, 633302, 631037, 839840, 573772, 805202, 688267, 692605, 729512, 668276, 657848]"
Object8,Property2,253106,"[934056, 786380, 543750, 795626, 938839, 951197, 805210, 565366, 592080, 940606, 573599, 846802, 960650, 566418, 989781, 766459, 557439, 972180, 585473, 869692]"
Object8,Property3,276424,"[517496, 796835, 834847, 881815, 612215, 564825, 513825, 870945, 678593, 934096, 749762, 776997, 656211, 830164, 682539, 595198, 943057, 799290, 542719, 649669]"
Object9,Property1,312500,"[586215, 722462, 570159, 978203, 585448, 680019, 958013, 503697, 785286, 790020, 536556, 583405, 927344, 857135, 620836, 517780, 600726, 912171, 824749, 953814]"
