Object,Property,Value
Object1,Property1,489774
Object1,Property2,386311
Object1,Property3,322392
Object2,Property1,498000
Object2,Property2,416535
Object2,Property3,359315
Object3,Property1,159117
Object3,Property2,313373
Object3,Property3,192511
Object4,Property1,454483
Object4,Property2,109166
Object4,Property3,225478
Object5,Property1,489839
Object5,Property2,194861
Object5,Property3,100868
Object6,Property1,400264
Object6,Property2,483031
Object6,Property3,365355
Object7,Property1,194919
Object7,Property2,369630
Object7,Property3,129955
Object8,Property1,340063
Object8,Property2,253106
Object8,Property3,276424
Object9,Property1,312500
Object9,Property2,249565
Object9,Property3,207381
Object10,Property1,282109
Object10,Property2,276008
Object10,Property3,383811
